Amount,Description,Place
"300,000 ֏ monthly","2 room apartment on Kajaznuni Street, 45 sq.m., designer renovation","Kentron, 2 rm., 45 sq.m., 9/9 floor"
"260,000 ֏ monthly","2 room apartment on Zaqyan Street 1st Lane, 40 sq.m., 1/5 floor, designer renovation, stone building","Kentron, 2 rm., 40 sq.m., 1/5 floor"
"200,000 ֏ monthly","4 room apartment on Gai Street, 100 sq.m., 1/5 floor, 3+ bathrooms, major renovation, stone building","Dilijan, 4 rm., 100 sq.m., 1/5 floor"
"$1,800 monthly","3 room apartment in a new building on Northern Avenue, 123 sq.m., 2 bathrooms, high ceilings","Kentron, 3 rm., 123 sq.m., 8/8 floor"
"220,000 ֏ monthly","2 room apartment in a new building on Tsarav Akhpyur Street, 60 sq.m., major renovation","Avan, 2 rm., 60 sq.m., 11/11 floor"
"270,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 58 sq.m., 11/18 floor, high ceilings","Ajapnyak, 2 rm., 58 sq.m., 11/18 floor"
"250,000 ֏ monthly","1 room apartment on Kajaznuni Street, 46 sq.m., 6/10 floor, major renovation, stone building","Kentron, 1 rm., 46 sq.m., 6/10 floor"
"200,000 ֏ monthly","3 room apartment on Getapnya Street, 74 sq.m., 3/9 floor, 2 bathrooms, high ceilings","Dilijan, 3 rm., 74 sq.m., 3/9 floor"
"330,000 ֏ monthly","3 room apartment on Komitas Avenue, 72 sq.m., 7/9 floor, major renovation","Arabkir, 3 rm., 72 sq.m., 7/9 floor"
"$1,900 monthly","3 room apartment in a new building on Argishti Street, 81 sq.m., 5/12 floor, high ceilings","Kentron, 3 rm., 81 sq.m., 5/12 floor"
"170,000 ֏ monthly","1 room apartment on Kievyan Street, 34 sq.m., 1/4 floor, high ceilings, euro renovation","Arabkir, 1 rm., 34 sq.m., 1/4 floor"
"220,000 ֏ monthly","3 room apartment on Lvovyan Street Lane, 65 sq.m., second to last floor, euro renovation","Nor Nork, 3 rm., 65 sq.m., 3/4 floor"
"80,000 ֏ monthly","2 room apartment on Sukhum Street, 45 sq.m., 2/5 floor, cosmetic renovation","Vanadzor, 2 rm., 45 sq.m., 2/5 floor"
"110,000 ֏ monthly","1 room apartment in a new building, Mkhitar Heratsi Street, 30 sq.m., major renovation","Masis, 1 rm., 30 sq.m., 4/4 floor"
"290,000 ֏ monthly","3 room apartment in a new building on Halabyan Street, 70 sq.m., 7/18 floor, high ceilings","Ajapnyak, 3 rm., 70 sq.m., 7/18 floor"
"190,000 ֏ monthly","2 room apartment in a new building on Khachik Muradyan Street, 60 sq.m., second to last floor","Tsakhkadzor, 2 rm., 60 sq.m., 7/8 floor"
"110,000 ֏ monthly","1 room apartment in a new building on Olympic street, 33 sq.m., 6/10 floor, multiple balconies","Tsakhkadzor, 1 rm., 33 sq.m., 6/10 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Halabyan Street, 65 sq.m., 4/18 floor, high ceilings","Ajapnyak, 2 rm., 65 sq.m., 4/18 floor"
"270,000 ֏ monthly","4 room apartment on Vratsakan Street, 100 sq.m., 1/9 floor, high ceilings, euro renovation","Arabkir, 4 rm., 100 sq.m., 1/9 floor"
"470,000 ֏ monthly","2 room apartment in a new building on Yekmalyan Street, 70 sq.m., second to last floor","Kentron, 2 rm., 70 sq.m., 9/10 floor"
"300,000 ֏ monthly","3 room apartment on Byron Street, 90 sq.m., high ceilings, major renovation, stone building","Kentron, 3 rm., 90 sq.m., 5/5 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 55 sq.m., 14/17 floor, high ceilings","Davtashen, 3 rm., 55 sq.m., 14/17 floor"
"250,000 ֏ monthly","3 room apartment in a new building on Hrachya Nersisyan Street, 130 sq.m., 9/14 floor, 2 bathrooms","Kanaker-Zeytun, 3 rm., 130 sq.m., 9/14 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Griboyedov Street, 83 sq.m., 5/16 floor, designer renovation","Arabkir, 2 rm., 83 sq.m., 5/16 floor"
"250,000 ֏ monthly","2 room apartment on Azatutyan Avenue, 40 sq.m., 2/4 floor, major renovation, stone building","Arabkir, 2 rm., 40 sq.m., 2/4 floor"
"270,000 ֏ monthly","2 room apartment on Charents Street, 60 sq.m., 1/5 floor, cosmetic renovation, stone building","Kentron, 2 rm., 60 sq.m., 1/5 floor"
"$1,350 monthly","3 room apartment on Teryan Street, 100 sq.m., 3/5 floor, high ceilings, multiple balconies","Kentron, 3 rm., 100 sq.m., 3/5 floor"
"280,000 ֏ monthly","2 room apartment on Komitas Avenue, 60 sq.m., 3/5 floor, euro renovation, stone building","Arabkir, 2 rm., 60 sq.m., 3/5 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Komitas Avenue, 84 sq.m., 2/6 floor, 2 bathrooms","Arabkir, 3 rm., 84 sq.m., 2/6 floor"
"$1,700 monthly","3 room apartment on Tumanyan Street, 110 sq.m., high ceilings, major renovation, stone building","Kentron, 3 rm., 110 sq.m., 4/4 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 115 sq.m., 10/17 floor, 2 bathrooms","Davtashen, 3 rm., 115 sq.m., 10/17 floor"
"$1,800 monthly","Spacious 4 room apartment in a new building on Mher Mkrtchyan Street, 230 sq.m.","Kentron, 4 rm., 230 sq.m., 5/6 floor"
"$1,200 monthly","2 room apartment in a new building on Amiryan Street, 67 sq.m., 16/19 floor, high ceilings","Kentron, 2 rm., 67 sq.m., 16/19 floor"
"280,000 ֏ monthly","2 room apartment in a new building on Karapet Ulnetsi Street, 70 sq.m., 2/14 floor, high ceilings","Kanaker-Zeytun, 2 rm., 70 sq.m., 2/14 floor"
"450,000 ֏ monthly","3 room apartment on Yeznik Koghbatsi Street, 85 sq.m., 6/9 floor, designer renovation","Kentron, 3 rm., 85 sq.m., 6/9 floor"
"500,000 ֏ monthly","3 room apartment in a new building on Nairi Zaryan Street, 150 sq.m., second to last floor","Arabkir, 3 rm., 150 sq.m., 15/16 floor"
"$3,000 monthly","Spacious 4 room apartment in a new building on Sayat-Nova Avenue, 210 sq.m., 10/17 floor","Kentron, 4 rm., 210 sq.m., 10/17 floor"
"450,000 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 55 sq.m., 8/18 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 8/18 floor"
"100,000 ֏ monthly","2 room apartment, Garegin Nzhdeh Street, 65 sq.m., 2/5 floor, major renovation, stone building","Vanadzor, 2 rm., 65 sq.m., 2/5 floor"
"70,000 ֏ monthly","3 room apartment, Երևանյան խճուղի, 76 sq.m., 5/9 floor, cosmetic renovation","Vanadzor, 3 rm., 76 sq.m., 5/9 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 74 sq.m., 9/18 floor, high ceilings","Davtashen, 2 rm., 74 sq.m., 9/18 floor"
"230,000 ֏ monthly","2 room apartment on Komitas Avenue, 35 sq.m., 2/2 floor, major renovation, stone building","Arabkir, 2 rm., 35 sq.m., 2/2 floor"
"450,000 ֏ monthly","3 room apartment in a new building on Nikoghayos Tigranyan Street, 90 sq.m., 3/9 floor","Arabkir, 3 rm., 90 sq.m., 3/9 floor"
"270,000 ֏ monthly","3 room apartment on Karapet Ulnetsi Street, 70 sq.m., 2/5 floor, 2 bathrooms, major renovation","Kanaker-Zeytun, 3 rm., 70 sq.m., 2/5 floor"
"650,000 ֏ monthly","3 room apartment in a new building on Verin Antarayin Street, 110 sq.m., second to last floor","Arabkir, 3 rm., 110 sq.m., 14/15 floor"
"450,000 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 68 sq.m., 12/17 floor, high ceilings","Kentron, 2 rm., 68 sq.m., 12/17 floor"
"270,000 ֏ monthly","4 room apartment on Davtashen 6th Street, 120 sq.m., 2/2 floor, 2 bathrooms, designer renovation","Davtashen, 4 rm., 120 sq.m., 2/2 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Halabyan Street, 70 sq.m., 7/18 floor, major renovation","Ajapnyak, 3 rm., 70 sq.m., 7/18 floor"
"800,000 ֏ monthly","2 room apartment on Isahakyan Street, 80 sq.m., 2/6 floor, 2 bathrooms, designer renovation","Kentron, 2 rm., 80 sq.m., 2/6 floor"
"260,000 ֏ monthly","2 room apartment, Улица Арама Хачатуряна, 50 sq.m., 4/9 floor, cosmetic renovation, stone building","Arabkir, 2 rm., 50 sq.m., 4/9 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 60 sq.m., 4/16 floor, high ceilings","Malatia-Sebastia, 2 rm., 60 sq.m., 4/16 floor"
"350,000 ֏ monthly","2 room apartment, Улица Рафаэла Лемкина, 75 sq.m., 7/9 floor, euro renovation, stone building","Kentron, 2 rm., 75 sq.m., 7/9 floor"
"250,000 ֏ monthly","3 room apartment in a new building on Tsarav Akhpyur Street, 80 sq.m., 12/14 floor, high ceilings","Avan, 3 rm., 80 sq.m., 12/14 floor"
"320,000 ֏ monthly","4 room apartment in a new building on Tsarav Akhpyur Street, 100 sq.m., 9/15 floor, 2 bathrooms","Avan, 4 rm., 100 sq.m., 9/15 floor"
"350,000 ֏ monthly","3 room apartment in a new building, Улица Никогайоса Адонца, 105 sq.m., 3/7 floor, high ceilings","Arabkir, 3 rm., 105 sq.m., 3/7 floor"
"220,000 ֏ monthly","2 room apartment in a new building on Chekhov Street, 50 sq.m., 4/11 floor, high ceilings","Shengavit, 2 rm., 50 sq.m., 4/11 floor"
"400,000 ֏ monthly","4 room apartment in a new building on Nikol Duman Street, 150 sq.m., 2/4 floor, 2 bathrooms","Arabkir, 4 rm., 150 sq.m., 2/4 floor"
"230,000 ֏ monthly","2 room apartment on Hakob Hakobyan Street, 40 sq.m., 2/9 floor, euro renovation, stone building","Arabkir, 2 rm., 40 sq.m., 2/9 floor"
"280,000 ֏ monthly","2 room apartment in a new building on Arghutyan Street, 62 sq.m., 4/13 floor, high ceilings","Arabkir, 2 rm., 62 sq.m., 4/13 floor"
"290,000 ֏ monthly","2 room apartment on Zaqyan Street, 35 sq.m., 2/5 floor, major renovation, stone building","Kentron, 2 rm., 35 sq.m., 2/5 floor"
"200,000 ֏ monthly","3 room apartment on Vagharshyan Street, 80 sq.m., second to last floor, multiple balconies","Arabkir, 3 rm., 80 sq.m., 4/5 floor"
"200,000 ֏ monthly","3 room apartment on Nerkin Shengavit 11th Street, 90 sq.m., 2/5 floor, multiple balconies","Shengavit, 3 rm., 90 sq.m., 2/5 floor"
"$2,200 monthly","3 room apartment in a new building on Northern Avenue, 130 sq.m., 4/9 floor, 2 bathrooms","Kentron, 3 rm., 130 sq.m., 4/9 floor"
"420,000 ֏ monthly","2 room apartment in a new building on Rostom Street, 53 sq.m., 8/14 floor, high ceilings","Kentron, 2 rm., 53 sq.m., 8/14 floor"
"$1,500 monthly","4 room apartment in a new building on Argishti Street, 90 sq.m., 2/15 floor, 2 bathrooms","Kentron, 4 rm., 90 sq.m., 2/15 floor"
"$2,500 monthly","3 room apartment in a new building on Verin Antarayin Street, 130 sq.m., second to last floor","Kentron, 3 rm., 130 sq.m., 14/15 floor"
"260,000 ֏ monthly","1 room apartment on Yeznik Koghbatsi Street, 42 sq.m., 3/11 floor, euro renovation","Kentron, 1 rm., 42 sq.m., 3/11 floor"
"160,000 ֏ monthly","2 room apartment in a new building on Titov Street, 25 sq.m., 2/2 floor, major renovation","Malatia-Sebastia, 2 rm., 25 sq.m., 2/2 floor"
"200,000 ֏ monthly","2 room apartment on Tsovakal Isakov Avenue, 45 sq.m., 4/9 floor, designer renovation","Kentron, 2 rm., 45 sq.m., 4/9 floor"
$900 monthly,"2 room apartment in a new building on Gevorg Emin Street, 50 sq.m., 3/7 floor, high ceilings","Kentron, 2 rm., 50 sq.m., 3/7 floor"
"180,000 ֏ monthly","3 room apartment, улица Акопа Акопяна, 85 sq.m., 1/7 floor, cosmetic renovation, stone building","Arabkir, 3 rm., 85 sq.m., 1/7 floor"
"$1,500 monthly","3 room apartment on Mashtots Avenue, 70 sq.m., second to last floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 70 sq.m., 7/8 floor"
"100,000 ֏ monthly","1 room apartment on Kamarin Street 1st Lane, 50 sq.m., euro renovation, stone building","Dilijan, 1 rm., 50 sq.m., 5/5 floor"
"100,000 ֏ monthly","4 room apartment on Paruyr Sevak Street, 70 sq.m., second to last floor, cosmetic renovation","Gyumri, 4 rm., 70 sq.m., 3/4 floor"
"$2,500 monthly","4 room apartment in a new building on Aram Street, 152 sq.m., 6/15 floor, 2 bathrooms, high ceilings","Kentron, 4 rm., 152 sq.m., 6/15 floor"
"180,000 ֏ monthly","3 room apartment on Zoravar Andranik Street, 63 sq.m., 2/9 floor, partial renovation","Malatia-Sebastia, 3 rm., 63 sq.m., 2/9 floor"
"280,000 ֏ monthly","3 room apartment on Mamikonyants Street, 80 sq.m., 3/9 floor, major renovation","Arabkir, 3 rm., 80 sq.m., 3/9 floor"
"130,000 ֏ monthly","3 room apartment in Tsakhkadzor, 60 sq.m., 1/2 floor, major renovation, stone building","Tsakhkadzor, 3 rm., 60 sq.m., 1/2 floor"
"140,000 ֏ monthly","Spacious 1 room apartment, Zakaria Kanakertsi Street, 66 sq.m., euro renovation","Kanaker-Zeytun, 1 rm., 66 sq.m., 16/16 floor"
"260,000 ֏ monthly","3 room apartment in a new building on Grigor Hasratyan Street, 60 sq.m., high ceilings","Ajapnyak, 3 rm., 60 sq.m., 14/14 floor"
"220,000 ֏ monthly","2 room apartment on Vardanants Street, 40 sq.m., euro renovation","Kentron, 2 rm., 40 sq.m., 9/9 floor"
"$1,000 monthly","3 room apartment on Yeznik Koghbatsi street, 90 sq.m., second to last floor, high ceilings","Kentron, 3 rm., 90 sq.m., 9/10 floor"
"$3,500 monthly","4 room apartment in a new building, Aram Street, 180 sq.m., 2 bathrooms, high ceilings, 5/12 floor","Kentron, 4 rm., 180 sq.m., 5/12 floor"
"$2,200 monthly","4 room apartment in a new building, Amiryan Street, 160 sq.m., 9/14 floor, 2 bathrooms","Kentron, 4 rm., 160 sq.m., 9/14 floor"
"$1,200 monthly","3 room apartment on Yeznik Koghbatsi street, 70 sq.m., high ceilings, 3/5 floor, major renovation","Kentron, 3 rm., 70 sq.m., 3/5 floor"
"$2,000 monthly","3 room apartment in a new building, Verin Antarayin Street, 125 sq.m., 12/15 floor, high ceilings","Kentron, 3 rm., 125 sq.m., 12/15 floor"
"$3,000 monthly","3 room apartment in a new building, Amiryan Street, 100 sq.m., second to last floor, high ceilings","Kentron, 3 rm., 100 sq.m., 11/12 floor"
"$1,400 monthly","2 room apartment in a new building, Բյուզանդի փողոց, 65 sq.m., 5/16 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 5/16 floor"
"$3,700 monthly","4 room apartment in a new building, Marshal Baghramyan avenue, 190 sq.m., 2 bathrooms, high ceilings","Kentron, 4 rm., 190 sq.m., 13/17 floor"
"$3,000 monthly","3 room apartment, Մարշալ Բաղրամյան պողոտա, 100 sq.m., second to last floor, 2 bathrooms","Kentron, 3 rm., 100 sq.m., 3/4 floor"
"$1,700 monthly","Spacious 2 room apartment in a new building, Northern Avenue, 130 sq.m., 4/11 floor, 2 bathrooms","Kentron, 2 rm., 130 sq.m., 4/11 floor"
"250,000 ֏ monthly","3 room apartment on Shiraz Street, 70 sq.m., major renovation","Ajapnyak, 3 rm., 70 sq.m., 9/9 floor"
"200,000 ֏ monthly","3 room apartment in a new building on Zoravar Andranik Street, 111 sq.m., 2/10 floor","Nor Hachen, 3 rm., 111 sq.m., 2/10 floor"
"220,000 ֏ monthly","3 room apartment on Vshtuni Street 4th Lane, 85 sq.m., 1/2 floor, high ceilings, cosmetic renovation","Ajapnyak, 3 rm., 85 sq.m., 1/2 floor"
"9,222,000 ֏ monthly","2 room apartment in a new building on Stepan Shahumyan Street, 60 sq.m., 3/7 floor, euro renovation","Artashat, 2 rm., 60 sq.m., 3/7 floor"
"350,000 ֏ monthly","3 room apartment on Bryusov Street, 75 sq.m., 3/16 floor","Kentron, 3 rm., 75 sq.m., 3/16 floor"
"270,000 ֏ monthly","3 room apartment in a new building on Armenak Armenakyan Street, 58 sq.m., 1/1 floor, high ceilings","Nork-Marash, 3 rm., 58 sq.m., 1/1 floor"
"300,000 ֏ monthly","4 room apartment on Artsakh Avenue, 100 sq.m., second to last floor, major renovation","Erebuni, 4 rm., 100 sq.m., 3/4 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Samvel Gevorgyan Street, 120 sq.m., high ceilings","Davtashen, 3 rm., 120 sq.m., 3/3 floor"
"110,000 ֏ monthly","3 room apartment in Mush 2 District, 82 sq.m., 2/4 floor, cosmetic renovation","Gyumri, 3 rm., 82 sq.m., 2/4 floor"
"250,000 ֏ monthly","1 room apartment on Saryan Street, 33 sq.m., 1/9 floor, designer renovation, stone building","Kentron, 1 rm., 33 sq.m., 1/9 floor"
"$4,400 monthly","Spacious 4 room apartment in a new building on Northern Avenue, 216 sq.m., 13/17 floor, 3+ bathrooms","Kentron, 4 rm., 216 sq.m., 13/17 floor"
"$1,700 monthly","4 room apartment in a new building on Pavstos Buzand Street, 140 sq.m., 15/17 floor, 2 bathrooms","Kentron, 4 rm., 140 sq.m., 15/17 floor"
"$4,000 monthly","4 room apartment in a new building on Northern Avenue, 180 sq.m., 5/10 floor, 3+ bathrooms","Kentron, 4 rm., 180 sq.m., 5/10 floor"
"90,000 ֏ monthly","2 room apartment in a new building on K. Halabyan Street, 57 sq.m., 1/4 floor, euro renovation","Gyumri, 2 rm., 57 sq.m., 1/4 floor"
"200,000 ֏ monthly","3 room apartment, Hrachya Acharyan Street 1st Deadlock, 86 sq.m., 4/9 floor, high ceilings","Avan, 3 rm., 86 sq.m., 4/9 floor"
"780,000 ֏ monthly","3 room apartment in a new building on Northern Avenue, 140 sq.m., 4/8 floor, 2 bathrooms","Kentron, 3 rm., 140 sq.m., 4/8 floor"
"$5,000 monthly","Spacious 5 room apartment in a new building on Northern Avenue, 350 sq.m., 8/12 floor, 3+ bathrooms","Kentron, 5 rm., 350 sq.m., 8/12 floor"
"$3,000 monthly","4 room apartment in a new building on Yekmalyan Street, 200 sq.m., 2 bathrooms, high ceilings","Kentron, 4 rm., 200 sq.m., 15/15 floor"
"100,000 ֏ monthly","3 room apartment in a new building, 9-րդ փողոց, 66 sq.m., 2/4 floor, euro renovation, stone building","Gyumri, 3 rm., 66 sq.m., 2/4 floor"
"$4,000 monthly","Spacious 4 room apartment in a new building on Northern Avenue, 210 sq.m., 7/9 floor, 2 bathrooms","Kentron, 4 rm., 210 sq.m., 7/9 floor"
"$2,500 monthly","Spacious 2 room apartment in a new building on Northern Avenue, 120 sq.m., 8/10 floor, 2 bathrooms","Kentron, 2 rm., 120 sq.m., 8/10 floor"
"$8,000 monthly","Spacious 5 room apartment in a new building, Aram Street, 397 sq.m., second to last floor","Kentron, 5 rm., 397 sq.m., 14/15 floor"
"$3,500 monthly","Spacious 6 room apartment in a new building on Amiryan Street, 450 sq.m., 3+ bathrooms","Kentron, 6 rm., 450 sq.m., 15/15 floor"
"280,000 ֏ monthly","2 room apartment on Hin Yerevantsu Street, 70 sq.m., second to last floor, 2 bathrooms","Kentron, 2 rm., 70 sq.m., 10/11 floor"
"$4,000 monthly","Spacious 4 room apartment in a new building on Teryan Street, 260 sq.m., 10/12 floor, 3+ bathrooms","Kentron, 4 rm., 260 sq.m., 10/12 floor"
"$2,800 monthly","5 room apartment in a new building on Leo Street, 248 sq.m., 5/16 floor, 3+ bathrooms","Kentron, 5 rm., 248 sq.m., 5/16 floor"
"$3,500 monthly","Spacious 5 room apartment in a new building on Teryan Street, 360 sq.m., second to last floor","Kentron, 5 rm., 360 sq.m., 8/9 floor"
"$3,500 monthly","4 room apartment in a new building on Amiryan Street, 200 sq.m., 7/11 floor, 2 bathrooms","Kentron, 4 rm., 200 sq.m., 7/11 floor"
"$2,100 monthly","Spacious 4 room apartment in a new building on Northern Avenue, 205 sq.m., 3/8 floor, 3+ bathrooms","Kentron, 4 rm., 205 sq.m., 3/8 floor"
"$2,500 monthly","4 room apartment in a new building on Leo Street, 200 sq.m., 8/17 floor, 3+ bathrooms, high ceilings","Kentron, 4 rm., 200 sq.m., 8/17 floor"
"700,000 ֏ monthly","4 room apartment in a new building, Tsitsernakaberd Highway near Dalma Garden Mall, 190 sq.m.","Kentron, 4 rm., 190 sq.m., 7/14 floor"
